id,schedule,list,sl_no,item,treatment,aliases,page
NP-AS-LIII-016,arogya_sanjeevani,III,16,X-RAY FILM,subsumed_into_procedure_charges,xray film,138
NP-AS-LIII-017,arogya_sanjeevani,III,17,BOYLES APPARATUS CHARGES,subsumed_into_procedure_charges,,138
NP-AS-LIII-018,arogya_sanjeevani,III,18,COTTON,subsumed_into_procedure_charges,cotton roll|absorbent cotton,138
NP-AS-LIII-019,arogya_sanjeevani,III,19,COTTON BANDAGE,subsumed_into_procedure_charges,,138
NP-AS-LIII-020,arogya_sanjeevani,III,20,SURGICAL TAPE,subsumed_into_procedure_charges,micropore|leucoplast|adhesive tape,139
NP-AS-LIII-021,arogya_sanjeevani,III,21,APRON,subsumed_into_procedure_charges,,139
NP-AS-LIII-022,arogya_sanjeevani,III,22,TORNIQUET,subsumed_into_procedure_charges,,139
NP-AS-LIII-023,arogya_sanjeevani,III,23,"ORTHOBUNDLE, GYNAEC BUNDLE",subsumed_into_procedure_charges,ortho bundle|gynaec bundle|drape pack,139
NP-AS-LIV-001,arogya_sanjeevani,IV,1,ADMISSION/REGISTRATION CHARGES,subsumed_into_cost_of_treatment,registration charges|registration fee|admission charges|admission fee,139
NP-AS-LIV-002,arogya_sanjeevani,IV,2,HOSPITALISATION FOR EVALUATION/ DIAGNOSTIC PURPOSE,subsumed_into_cost_of_treatment,,139
NP-AS-LIV-003,arogya_sanjeevani,IV,3,URINE CONTAINER,subsumed_into_cost_of_treatment,urine pot,139
NP-AS-LIV-004,arogya_sanjeevani,IV,4,BLOOD RESERVATION CHARGES AND ANTE NATAL BOOKING CHARGES,subsumed_into_cost_of_treatment,,139
NP-AS-LIV-005,arogya_sanjeevani,IV,5,BIPAP MACHINE,subsumed_into_cost_of_treatment,bipap,139
NP-AS-LIV-006,arogya_sanjeevani,IV,6,CPAP/ CAPD EQUIPMENTS,subsumed_into_cost_of_treatment,cpap|capd,139
NP-AS-LIV-007,arogya_sanjeevani,IV,7,INFUSION PUMP– COST,subsumed_into_cost_of_treatment,infusion pump|syringe pump,139
NP-AS-LIV-008,arogya_sanjeevani,IV,8,HYDROGEN PEROXIDE\SPIRIT\ DISINFECTANTS ETC,subsumed_into_cost_of_treatment,hydrogen peroxide|surgical spirit|betadine solution,139
NP-AS-LIV-009,arogya_sanjeevani,IV,9,NUTRITION PLANNING CHARGES - DIETICIAN CHARGES- DIET CHARGES,subsumed_into_cost_of_treatment,dietician charges|dietitian charges|diet consultation,139
NP-AS-LIV-010,arogya_sanjeevani,IV,10,HIV KIT,subsumed_into_cost_of_treatment,,139
NP-AS-LIV-011,arogya_sanjeevani,IV,11,ANTISEPTIC MOUTHWASH,subsumed_into_cost_of_treatment,mouthwash|mouth wash,139
NP-AS-LIV-012,arogya_sanjeevani,IV,12,LOZENGES,subsumed_into_cost_of_treatment,,139
NP-AS-LIV-013,arogya_sanjeevani,IV,13,MOUTH PAINT,subsumed_into_cost_of_treatment,,139
NP-AS-LIV-014,arogya_sanjeevani,IV,14,VACCINATION CHARGES,subsumed_into_cost_of_treatment,vaccine|vaccination,139
NP-AS-LIV-015,arogya_sanjeevani,IV,15,ALCOHOL SWABES,subsumed_into_cost_of_treatment,alcohol swab|alcohol swabs|spirit swab,139
NP-AS-LIV-016,arogya_sanjeevani,IV,16,SCRUB SOLUTION/STERILLIUM,subsumed_into_cost_of_treatment,sterillium|scrub solution|hand rub,139
NP-AS-LIV-017,arogya_sanjeevani,IV,17,Glucometer& Strips,subsumed_into_cost_of_treatment,glucometer strips|glucose strips|grbs strips,139
NP-AS-LIV-018,arogya_sanjeevani,IV,18,URINE BAG,subsumed_into_cost_of_treatment,uro bag|urine collection bag,139
